Automóvel,Descrição,Automático,Ano,Km,Local,Anunciante,Preço
CHEVROLET CRUZE,1.4 TURBO FLEX SPORT6 PREMIER AUTOMÁTICO,Y,2020/2020,11000 km,Jaraguá do Sul - SC,Pessoa Física,R$ 119900
HONDA FIT,1.5 EX 16V FLEX 4P AUTOMÁTICO,Y,2009/2009,118000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 36500
PEUGEOT 208,1.6 16V FLEX GRIFFE AT6,Y,2020/2021,3000 km,São Paulo - SP,Pessoa Física,R$ 91490
FIAT STILO,1.8 MPI 8V FLEX 4P AUTOMATIZADO,Y,2010/2010,108000 km,Maringá - PR,Pessoa Física,R$ 25000
VOLVO V40,2.0 T5 R-DESIGN GASOLINA 4P AUTOMÁTICO,Y,2018/2019,35579 km,Cuiabá - MT,Pessoa Física,R$ 144490
VOLKSWAGEN POLO,1.0 200 TSI FLEX COMFORTLINE AUTOMÁTICO,Y,2018/2019,20000 km,Belo Horizonte - MG,Pessoa Física,R$ 76900
MINI COOPER,2.0 16V TWINPOWER GASOLINA S 2P STEPTRONIC,Y,2020/2020,11800 km,Chapecó - SC,Pessoa Física,R$ 192000
HONDA FIT,1.4 DX 16V FLEX 4P AUTOMÁTICO,Y,2011/2011,124000 km,Fortaleza - CE,Pessoa Física,R$ 36000
CHEVROLET ONIX,1.4 MPFI LT 8V FLEX 4P AUTOMÁTICO,Y,2019/2019,15800 km,Manaus - AM,Pessoa Física,R$ 61500
VOLKSWAGEN POLO,1.0 200 TSI FLEX HIGHLINE AUTOMÁTICO,Y,2018/2019,31000 km,Blumenau - SC,Pessoa Física,R$ 78900
CHEVROLET ONIX,1.4 MPFI ACTIV 8V FLEX 4P AUTOMÁTICO,Y,2018/2019,20200 km,Umuarama - PR,Pessoa Física,R$ 71000
CITROËN C3,1.6 EXCLUSIVE 16V FLEX 4P AUTOMÁTICO,Y,2014/2014,90000 km,São Paulo - SP,Pessoa Física,R$ 39000
CHEVROLET CRUZE,1.4 TURBO SPORT6 LT 16V FLEX 4P AUTOMÁTICO,Y,2019/2020,24000 km,Balneário Camboriú - SC,Pessoa Física,R$ 105990
VOLKSWAGEN POLO,1.0 200 TSI FLEX COMFORTLINE AUTOMÁTICO,Y,2018/2019,30000 km,Fortaleza - CE,Pessoa Física,R$ 73000
VOLKSWAGEN GOL,1.6 MI RALLYE 8V FLEX 4P AUTOMATIZADO G.VI,Y,2013/2014,156000 km,Pinhalzinho - SP,Pessoa Física,R$ 38000
AUDI A1,1.8 TFSI SPORTBACK AMBITION GASOLINA 4P S-TRONIC,Y,2015/2016,31000 km,Angra dos Reis - RJ,Pessoa Física,R$ 96000
VOLKSWAGEN POLO,1.4 250 TSI FLEX GTS AUTOMÁTICO,Y,2021/2022,921 km,Itajaí - SC,Pessoa Física,R$ 135000
NISSAN MARCH,1.6 SL 16V FLEX 4P XTRONIC,Y,2016/2017,43000 km,Niterói - RJ,Pessoa Física,R$ 50000
FORD KA,1.0 TI-VCT FLEX FREESTYLE MANUAL,N,2019/2020,11000 km,Jacareí - SP,Loja,R$ 66900
FORD FIESTA,1.6 TITANIUM HATCH 16V FLEX 4P POWERSHIFT,Y,2015/2015,103000 km,Tupã - SP,Pessoa Física,R$ 43500
FIAT PALIO,1.6 MPI SPORTING 16V FLEX 4P AUTOMATIZADO,Y,2013/2014,120000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 34900
VOLKSWAGEN POLO,1.0 200 TSI FLEX HIGHLINE AUTOMÁTICO,Y,2019/2020,12700 km,Florianópolis - SC,Pessoa Física,R$ 91900
VOLKSWAGEN POLO,1.0 200 TSI FLEX HIGHLINE AUTOMÁTICO,Y,2018/2019,26800 km,Balneário Camboriú - SC,Pessoa Física,R$ 86500
MINI COOPER,2.0 16V TWINPOWER GASOLINA JOHN COOPER WORKS 2P STEPTRONIC,Y,2018/2019,62623 km,São Paulo - SP,Pessoa Física,R$ 184950
HONDA FIT,1.5 LX 16V FLEX 4P AUTOMÁTICO,Y,2019/2020,9839 km,São Paulo - SP,Pessoa Física,R$ 88900
FORD FIESTA,1.6 TITANIUM PLUS HATCH 16V FLEX 4P POWERSHIFT,Y,2017/2017,80868 km,São Paulo - SP,Pessoa Física,R$ 54990
PEUGEOT 208,1.6 16V FLEX GRIFFE AT6,Y,2021/2021,4200 km,São Paulo - SP,Pessoa Física,R$ 99800
VOLKSWAGEN POLO,1.0 200 TSI FLEX HIGHLINE AUTOMÁTICO,Y,2019/2020,6100 km,Rio de Janeiro - RJ,Pessoa Física,R$ 94000
FORD FOCUS,2.0 SE 16V FLEX 4P POWERSHIFT,Y,2018/2019,15700 km,Salvador - BA,Pessoa Física,R$ 67500
VOLVO V40,2.0 T5 R-DESIGN GASOLINA 4P AUTOMÁTICO,Y,2017/2018,45000 km,Águas de Lindóia - SP,Pessoa Física,R$ 129900
FORD FIESTA,1.6 SE HATCH 16V FLEX 4P POWERSHIFT,Y,2014/2015,60000 km,Campinas - SP,Pessoa Física,R$ 39500
TOYOTA YARIS,1.5 16V FLEX XLS MULTIDRIVE,Y,2018/2019,31789 km,Rio de Janeiro - RJ,Pessoa Física,R$ 83500
FIAT ARGO,1.3 FIREFLY FLEX DRIVE GSR,Y,2018/2018,41000 km,Gramado - RS,Pessoa Física,R$ 56000
CHEVROLET ONIX,1.4 MPFI LTZ 8V FLEX 4P AUTOMÁTICO,Y,2017/2017,45000 km,São Paulo - SP,Pessoa Física,R$ 61000
HONDA FIT,1.5 EX 16V FLEX 4P AUTOMÁTICO,Y,2013/2014,86000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 59000
HONDA FIT,1.4 LX 16V FLEX 4P AUTOMÁTICO,Y,2013/2014,131539 km,Goiânia - GO,Pessoa Física,R$ 45900
HONDA FIT,1.4 LX 16V FLEX 4P AUTOMÁTICO,Y,2009/2009,146000 km,Belo Horizonte - MG,Pessoa Física,R$ 35500
PEUGEOT 208,1.6 GRIFFE 16V FLEX 4P AUTOMÁTICO,Y,2016/2016,30000 km,Guarulhos - SP,Pessoa Física,R$ 50900
FORD FOCUS,2.0 SE 16V FLEX 4P POWERSHIFT,Y,2018/2019,40800 km,São Paulo - SP,Pessoa Física,R$ 66500
VOLKSWAGEN POLO,1.0 200 TSI FLEX HIGHLINE AUTOMÁTICO,Y,2019/2019,26500 km,Balneário Camboriú - SC,Pessoa Física,R$ 89900
CHEVROLET ONIX,1.4 MPFI LTZ 8V FLEX 4P AUTOMÁTICO,Y,2014/2015,44000 km,Palmital - SP,Pessoa Física,R$ 51000
AUDI A3,1.4 TFSI SEDAN 16V GASOLINA 4P S-TRONIC,Y,2014/2015,120000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 70000
HYUNDAI HB20X,1.6 16V PREMIUM FLEX 4P AUTOMÁTICO,Y,2016/2016,50703 km,Rio de Janeiro - RJ,Pessoa Física,R$ 59900
PEUGEOT 208,1.6 16V FLEX GRIFFE AT6,Y,2021/2021,3100 km,Brasília - DF,Pessoa Física,R$ 90000
HONDA FIT,1.5 EXL 16V FLEX 4P AUTOMÁTICO,Y,2016/2017,77000 km,São Paulo - SP,Pessoa Física,R$ 70000
HONDA FIT,1.4 LX 8V GASOLINA 4P AUTOMÁTICO,Y,2008/2008,133020 km,Pirassununga - SP,Pessoa Física,R$ 29000
VOLKSWAGEN FOX,1.6 MI PRIME 8V FLEX 4P AUTOMATIZADO,Y,2013/2013,125000 km,São Paulo - SP,Pessoa Física,R$ 34750
TOYOTA ETIOS,1.3 X 16V FLEX 4P AUTOMÁTICO,Y,2017/2018,29500 km,Brasília - DF,Pessoa Física,R$ 52000
VOLVO V40,2.0 T4 MOMENTUM GASOLINA 4P AUTOMÁTICO,Y,2018/2019,41000 km,Curitiba - PR,Pessoa Física,R$ 116900
PEUGEOT 208,1.6 GRIFFE 16V FLEX 4P AUTOMÁTICO,Y,2014/2015,141000 km,São José dos Campos - SP,Pessoa Física,R$ 43000
FIAT PALIO,1.6 MPI SPORTING 16V FLEX 4P AUTOMATIZADO,Y,2013/2013,99581 km,São Bernardo do Campo - SP,Pessoa Física,R$ 37900
BMW 118i,1.5 12V GASOLINA SPORT GP STEPTRONIC,Y,2019/2020,26000 km,Barueri - SP,Pessoa Física,R$ 187000
TOYOTA YARIS,1.3 16V FLEX XL MULTIDRIVE,Y,2019/2019,36000 km,Salvador - BA,Pessoa Física,R$ 71900
CHEVROLET ONIX,1.4 MPFI ACTIV 8V FLEX 4P AUTOMÁTICO,Y,2019/2019,14000 km,Lins - SP,Pessoa Física,R$ 71000
VOLVO V40,2.0 T4 CROSS COUNTRY GASOLINA 4P AUTOMÁTICO,Y,2017/2017,48000 km,São Paulo - SP,Pessoa Física,R$ 110000
FORD KA,1.5 TI-VCT FLEX SE AUTOMÁTICO,Y,2018/2019,30000 km,São Paulo - SP,Pessoa Física,R$ 59990
AUDI RS3,2.5 TFSI SPORTBACK QUATTRO GASOLINA 4P S-TRONIC,Y,2016/2016,35000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 285000
PEUGEOT 208,1.6 GRIFFE 16V FLEX 4P AUTOMÁTICO,Y,2018/2019,34500 km,São Paulo - SP,Pessoa Física,R$ 67000
CHEVROLET CRUZE,1.4 TURBO FLEX SPORT6 PREMIER AUTOMÁTICO,Y,2019/2020,24000 km,Caçapava - SP,Pessoa Física,R$ 121000
HONDA FIT,1.5 EX 16V FLEX 4P AUTOMÁTICO,Y,2016/2016,52500 km,São Paulo - SP,Pessoa Física,R$ 69900
RENAULT SANDERO,1.6 16V SCE FLEX STEPWAY ICONIC X-TRONIC,Y,2019/2020,16350 km,Curitiba - PR,Pessoa Física,R$ 74650
MINI COOPER,2.0 16V TWINPOWER GASOLINA JOHN COOPER WORKS 2P STEPTRONIC,Y,2019/2019,10560 km,Juiz de Fora - MG,Pessoa Física,R$ 214900
PEUGEOT 208,1.6 16V FLEX GRIFFE AT6,Y,2020/2021,9500 km,São Paulo - SP,Pessoa Física,R$ 91900
TOYOTA ETIOS,1.3 X 16V FLEX 4P AUTOMÁTICO,Y,2017/2018,29500 km,São Paulo - SP,Pessoa Física,R$ 58900
VOLVO V40,2.0 T4 KINETIC GASOLINA 4P AUTOMÁTICO,Y,2019/2019,18700 km,Jacareí - SP,Pessoa Física,R$ 119900
HONDA FIT,1.4 CX 16V FLEX 4P AUTOMÁTICO,Y,2014/2014,128000 km,São Paulo - SP,Pessoa Física,R$ 46000
VOLKSWAGEN POLO,1.4 250 TSI FLEX GTS AUTOMÁTICO,Y,2020/2020,19000 km,Belo Horizonte - MG,Pessoa Física,R$ 124990
TOYOTA YARIS,1.5 16V FLEX XLS MULTIDRIVE,Y,2020/2020,31500 km,Diadema - SP,Pessoa Física,R$ 86500
VOLKSWAGEN POLO,1.0 200 TSI FLEX HIGHLINE AUTOMÁTICO,Y,2019/2019,80000 km,Alfenas - MG,Pessoa Física,R$ 77000
FORD FIESTA,1.6 SE HATCH 16V FLEX 4P POWERSHIFT,Y,2013/2014,90000 km,Guarulhos - SP,Pessoa Física,R$ 37000
CHEVROLET CRUZE,1.4 TURBO SPORT6 LTZ 16V FLEX 4P AUTOMÁTICO,Y,2019/2019,28783 km,São José dos Campos - SP,Pessoa Física,R$ 109900
HYUNDAI HB20,1.6 PREMIUM 16V FLEX 4P AUTOMÁTICO,Y,2017/2017,17100 km,Londrina - PR,Pessoa Física,R$ 68900
FORD FOCUS,2.0 SE 16V FLEX 4P POWERSHIFT,Y,2018/2019,22500 km,Poços de Caldas - MG,Pessoa Física,R$ 69000
MINI COOPER,2.0 16V TWINPOWER GASOLINA S 4P STEPTRONIC,Y,2019/2020,15000 km,Araçatuba - SP,Pessoa Física,R$ 195000
FORD FIESTA,1.6 SE HATCH 16V FLEX 4P POWERSHIFT,Y,2015/2016,72000 km,Brasília - DF,Pessoa Física,R$ 41800
HONDA FIT,1.5 EXL 16V FLEX 4P AUTOMÁTICO,Y,2019/2020,42268 km,Campinas - SP,Pessoa Física,R$ 92200
VOLKSWAGEN GOL,1.6 MI RALLYE 16V FLEX 4P AUTOMATIZADO G.VI,Y,2014/2015,37400 km,Piracicaba - SP,Pessoa Física,R$ 46000
TOYOTA YARIS,1.5 16V FLEX XLS CONNECT MULTIDRIVE,Y,2020/2021,13074 km,Praia Grande - SP,Pessoa Física,R$ 92900
AUDI RS3,2.5 TFSI GASOLINA SPORTBACK QUATTRO S-TRONIC,Y,2017/2018,16800 km,São Paulo - SP,Pessoa Física,R$ 389000
VOLKSWAGEN POLO,1.0 200 TSI FLEX HIGHLINE AUTOMÁTICO,Y,2018/2019,28200 km,Joaçaba - SC,Pessoa Física,R$ 87000
TOYOTA YARIS,1.5 16V FLEX X WAY MULTIDRIVE,Y,2019/2019,10300 km,Brasília - DF,Pessoa Física,R$ 85000
FORD ECOSPORT,2.0 TITANIUM 16V FLEX 4P POWERSHIFT,Y,2016/2017,68000 km,Jacareí - SP,Loja,R$ 70900
CHEVROLET SPIN,1.8 LT 8V FLEX 4P AUTOMÁTICO,Y,2018/2019,39506 km,São Paulo - SP,Loja,R$ 74900
CHEVROLET SPIN,1.8 ACTIV 8V FLEX 4P AUTOMÁTICO,Y,2019/2020,14335 km,São José dos Campos - SP,Concessionária,R$ 92990
JEEP RENEGADE,1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,Y,2020/2021,27214 km,Osasco - SP,Loja,R$ 115990
JEEP RENEGADE,1.8 16V FLEX 4P AUTOMÁTICO,Y,2018/2018,55214 km,São José dos Campos - SP,Concessionária,R$ 81990
JEEP RENEGADE,1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,Y,2019/2019,38952 km,São Paulo - SP,Loja,R$ 93900
JEEP RENEGADE,1.8 16V FLEX LIMITED 4P AUTOMÁTICO,Y,2019/2019,37300 km,Canoas - RS,Loja,R$ 104700
JEEP RENEGADE,1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,Y,2019/2020,46679 km,Gaspar - SC,Loja,R$ 92900
HYUNDAI CRETA,1.6 16V FLEX PULSE PLUS AUTOMÁTICO,Y,2019/2020,15450 km,São Paulo - SP,Loja,R$ 98900
FIAT CRONOS,1.3 FIREFLY FLEX MANUAL,N,2019/2019,26400 km,Recife - PE,Loja,R$ 62900
FORD ECOSPORT,1.6 SE 16V FLEX 4P POWERSHIFT,Y,2016/2016,127596 km,São Gotardo - MG,Loja,R$ 54000
HYUNDAI CRETA,2.0 16V FLEX PRESTIGE AUTOMÁTICO,Y,2021/2021,0 km,São Paulo - SP,Loja,R$ 126900
NISSAN LIVINA,1.8 SL 16V FLEX 4P AUTOMÁTICO,Y,2013/2013,83000 km,São Paulo - SP,Loja,R$ 35790
HYUNDAI CRETA,2.0 16V FLEX PRESTIGE AUTOMÁTICO,Y,2021/2021,0 km,Divinópolis - MG,Concessionária,R$ 117790
HYUNDAI CRETA,1.6 16V FLEX ACTION AUTOMÁTICO,Y,2021/2021,0 km,Divinópolis - MG,Concessionária,R$ 96990
VOLKSWAGEN TAOS,1.4 250 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,Y,2021/2022,0 km,São João da Boa Vista - SP,Loja,R$ 199999
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO,Y,2019/2020,31806 km,Bauru - SP,Loja,R$ 108990
JAC T5,1.5 16V JETFLEX 4P MANUAL,N,2017/2018,37000 km,São Paulo - SP,Loja,R$ 61890
JEEP RENEGADE,1.8 16V FLEX SPORT 4P AUTOMÁTICO,Y,2016/2017,55000 km,Ibirama - SC,Loja,R$ 78000
HONDA HR-V,1.8 16V FLEX EX 4P AUTOMÁTICO,Y,2016/2017,108000 km,Joinville - SC,Concessionária,R$ 96900
HONDA HR-V,1.8 16V FLEX EXL 4P AUTOMÁTICO,Y,2021/2021,547 km,Itatiba - SP,Loja,R$ 137789
PEUGEOT 2008,1.6 16V FLEX ALLURE 4P AUTOMÁTICO,Y,2017/2017,61300 km,Taubaté - SP,Loja,R$ 59900
RENAULT DUSTER,1.6 16V SCE FLEX DYNAMIQUE X-TRONIC,Y,2019/2020,37230 km,Votuporanga - SP,Concessionária,R$ 80990
CITROËN C4 CACTUS,1.6 VTI 120 FLEX FEEL PACK EAT6,Y,2019/2020,22400 km,Joinville - SC,Concessionária,R$ 87990
JEEP RENEGADE,1.8 16V FLEX 4P AUTOMÁTICO,Y,2017/2017,57000 km,Suzano - SP,Loja,R$ 78900
JEEP RENEGADE,1.8 16V FLEX SPORT 4P AUTOMÁTICO,Y,2021/2021,0 km,Andradas - MG,Loja,R$ 98900
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO,Y,2019/2020,47644 km,Rio de Janeiro - RJ,Loja,R$ 104900
NISSAN KICKS,1.6 16V FLEXSTART SL 4P XTRONIC,Y,2019/2020,21900 km,São Paulo - SP,Loja,R$ 109900
TOYOTA ETIOS,1.5 X SEDAN 16V FLEX 4P MANUAL,N,2017/2018,76868 km,Blumenau - SC,Loja,R$ 57900
PEUGEOT 2008,1.6 16V FLEX GRIFFE 4P AUTOMÁTICO,Y,2015/2016,84000 km,São José dos Campos - SP,Loja,R$ 59890
JAC T80,2.0 16V TURBO GASOLINA DCT,Y,2019/2020,3799 km,Curitiba - PR,Concessionária,R$ 149800
NISSAN KICKS,1.6 16V FLEXSTART SV 4P XTRONIC,Y,2018/2019,32000 km,São Paulo - SP,Loja,R$ 91990
JEEP RENEGADE,1.8 16V FLEX SPORT 4P AUTOMÁTICO,Y,2016/2017,46515 km,Goiânia - GO,Loja,R$ 79900
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO,Y,2019/2020,11057 km,Jundiaí - SP,Concessionária,R$ 111990
HYUNDAI CRETA,1.6 16V FLEX ACTION AUTOMÁTICO,Y,2021/2022,0 km,Araçatuba - SP,Loja,R$ 104800
RENAULT LOGAN,1.0 12V SCE FLEX LIFE MANUAL,N,2020/2021,49311 km,São Paulo - SP,Loja,R$ 54390
HONDA HR-V,1.8 16V FLEX EXL 4P AUTOMÁTICO,Y,2017/2018,75000 km,São Paulo - SP,Loja,R$ 99999
JEEP RENEGADE,1.8 16V FLEX SPORT 4P AUTOMÁTICO,Y,2016/2016,92950 km,Brasília - DF,Loja,R$ 68900
JEEP RENEGADE,1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,Y,2019/2020,52801 km,João Pessoa - PB,Loja,R$ 94990
JEEP RENEGADE,2.0 16V TURBO DIESEL LONGITUDE 4P 4X4 AUTOMÁTICO,Y,2019/2019,41000 km,São José - SC,Concessionária,R$ 139800
HONDA HR-V,1.8 16V FLEX EX 4P AUTOMÁTICO,Y,2018/2018,16204 km,Osasco - SP,Loja,R$ 109790
VOLKSWAGEN T-CROSS,1.4 250 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,Y,2019/2020,28604 km,São Paulo - SP,Loja,R$ 116900
RENAULT CAPTUR,1.6 16V SCE FLEX INTENSE X-TRONIC,Y,2018/2019,57000 km,Lages - SC,Loja,R$ 86900
HONDA HR-V,1.8 16V FLEX EX 4P AUTOMÁTICO,Y,2017/2018,57000 km,Piracicaba - SP,Concessionária,R$ 103900
FIAT GRAND SIENA,1.4 MPI ATTRACTIVE 8V FLEX 4P MANUAL,N,2021/2021,0 km,São José do Rio Preto - SP,Concessionária,R$ 64990
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO,Y,2019/2020,9894 km,Curitiba - PR,Loja,R$ 119900
MITSUBISHI ASX,2.0 4X2 16V FLEX 4P AUTOMÁTICO,Y,2017/2018,63000 km,Uberaba - MG,Loja,R$ 91900
HONDA HR-V,1.8 16V FLEX EX 4P AUTOMÁTICO,Y,2016/2016,128000 km,Divinópolis - MG,Concessionária,R$ 82990
RENAULT CAPTUR,1.6 16V SCE FLEX INTENSE X-TRONIC,Y,2019/2020,38920 km,Rio de Janeiro - RJ,Loja,R$ 89900
JEEP RENEGADE,1.8 16V FLEX SPORT 4P AUTOMÁTICO,Y,2015/2016,90230 km,Amparo - SP,Loja,R$ 73990
PEUGEOT 2008,1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO,Y,2020/2021,9734 km,Canoas - RS,Loja,R$ 89900
CITROËN C4 CACTUS,1.6 THP FLEX SHINE PACK EAT6,Y,2018/2019,37000 km,Limeira - SP,Loja,R$ 92990
JEEP RENEGADE,1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,Y,2019/2019,32900 km,São Paulo - SP,Concessionária,R$ 96900
JEEP RENEGADE,1.8 16V FLEX SPORT 4P AUTOMÁTICO,Y,2016/2016,94100 km,Cocalzinho de Goiás - GO,Loja,R$ 71000
CHEVROLET COBALT,1.4 MPFI LS 8V FLEX 4P MANUAL,N,2014/2015,110000 km,Rio de Janeiro - RJ,Loja,R$ 39124
VOLKSWAGEN T-CROSS,1.4 250 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,Y,2020/2021,6700 km,Uberaba - MG,Loja,R$ 149900
HONDA HR-V,1.8 16V FLEX EXL 4P AUTOMÁTICO,Y,2016/2016,57000 km,Rio de Janeiro - RJ,Loja,R$ 87700
JEEP RENEGADE,2.0 16V TURBO DIESEL TRAILHAWK 4P 4X4 AUTOMÁTICO,Y,2015/2016,85699 km,Uberlândia - MG,Loja,R$ 95900
RENAULT CAPTUR,1.6 16V SCE FLEX INTENSE X-TRONIC,Y,2019/2020,30848 km,Maceió - AL,Loja,R$ 90490
RENAULT CAPTUR,1.6 16V SCE FLEX INTENSE X-TRONIC,Y,2019/2020,34282 km,Caxias do Sul - RS,Loja,R$ 90990
JEEP RENEGADE,1.8 16V FLEX SPORT 4P AUTOMÁTICO,Y,2016/2016,58000 km,Rio de Janeiro - RJ,Loja,R$ 75900
FORD ECOSPORT,1.6 FREESTYLE 16V FLEX 4P MANUAL,N,2012/2012,96000 km,São Paulo - SP,Loja,R$ 48900
NISSAN KICKS,1.6 16V FLEXSTART S DIRECT 4P XTRONIC,Y,2017/2018,46000 km,Manaus - AM,Concessionária,R$ 88900
NISSAN KICKS,1.6 16V FLEXSTART EXCLUSIVE XTRONIC,Y,2021/2022,2647 km,Bauru - SP,Loja,R$ 129000
RENAULT DUSTER,1.6 16V SCE FLEX ICONIC X-TRONIC,Y,2020/2021,4000 km,Blumenau - SC,Concessionária,R$ 99900
VOLKSWAGEN SPACE CROSS,1.6 MI 8V FLEX 4P MANUAL,N,2013/2014,103000 km,Uberlândia - MG,Loja,R$ 45900
NISSAN KICKS,1.6 16V FLEXSTART EXCLUSIVE XTRONIC,Y,2021/2022,0 km,Joinville - SC,Loja,R$ 128900
HONDA HR-V,1.8 16V FLEX LX 4P AUTOMÁTICO,Y,2018/2018,63566 km,Brasília - DF,Loja,R$ 98900
TOYOTA COROLLA CROSS,2.0 VVT-IE FLEX XRE DIRECT SHIFT,Y,2021/2022,1900 km,Itajaí - SC,Loja,R$ 167900
NISSAN KICKS,1.6 16V FLEXSTART S 4P MANUAL,N,2017/2018,100 km,Sorocaba - SP,Loja,R$ 73900
JEEP RENEGADE,1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,Y,2016/2016,30200 km,Santos - SP,Loja,R$ 87990
JEEP RENEGADE,1.8 16V FLEX LIMITED 4P AUTOMÁTICO,Y,2021/2021,3200 km,São Paulo - SP,Loja,R$ 124870
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX MANUAL,N,2019/2020,11900 km,Jundiaí - SP,Loja,R$ 94900
VOLKSWAGEN JETTA,2.5 I VARIANT 20V 170CV GASOLINA 4P TIPTRONIC,Y,2010/2010,999999 km,Pato Branco - PR,Loja,R$ 47900
MITSUBISHI ASX,2.0 4X2 16V GASOLINA 4P AUTOMÁTICO,Y,2012/2012,111000 km,São Paulo - SP,Loja,R$ 55890
FORD ECOSPORT,1.5 TI-VCT FLEX SE MANUAL,N,2018/2019,20759 km,Brasília - DF,Loja,R$ 71900
CHEVROLET SPIN,1.8 LTZ 8V FLEX 4P AUTOMÁTICO,Y,2014/2014,161000 km,Joinville - SC,Loja,R$ 49900
JEEP RENEGADE,2.0 16V TURBO DIESEL TRAILHAWK 4P 4X4 AUTOMÁTICO,Y,2019/2019,40000 km,Valinhos - SP,Concessionária,R$ 149990
HONDA HR-V,1.8 16V FLEX EX 4P AUTOMÁTICO,Y,2018/2018,38000 km,Uberaba - MG,Loja,R$ 102900
JEEP RENEGADE,1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,Y,2018/2018,52223 km,São Bernardo do Campo - SP,Loja,R$ 90900
VOLKSWAGEN PARATI,1.6 MI SURF 8V FLEX 4P MANUAL G.IV,N,2012/2013,130000 km,Santo Amaro da Imperatriz - SC,Loja,R$ 37000
CHEVROLET COBALT,1.8 MPFI 8V FLEX 4P AUTOMÁTICO,Y,2019/2020,40460 km,Rio de Janeiro - RJ,Loja,R$ 72990
HONDA HR-V,1.5 16V TURBO GASOLINA TOURING 4P AUTOMÁTICO,Y,2021/2021,14000 km,São Paulo - SP,Loja,R$ 163000
CHEVROLET SPIN,1.8 LT 8V FLEX 4P MANUAL,N,2019/2020,0 km,Blumenau - SC,Concessionária,R$ 76900
CITROËN C3 PICASSO,1.6 FLEX GLX BVA,Y,2012/2013,84000 km,Criciúma - SC,Loja,R$ 37900
FORD ECOSPORT,2.0 DIRECT FLEX TITANIUM AUTOMÁTICO,Y,2017/2018,24900 km,Campo Grande - MS,Loja,R$ 77900
HONDA HR-V,1.8 16V FLEX EX 4P AUTOMÁTICO,Y,2016/2016,119680 km,Uberlândia - MG,Loja,R$ 83800
CHEVROLET TRACKER,1.4 16V TURBO FLEX LTZ AUTOMÁTICO,Y,2017/2017,1000 km,Sapucaia do Sul - RS,Loja,R$ 97800
CHERY ARRIZO 6,1.5 VVT TURBO iFLEX GSX CVT,Y,2020/2021,15413 km,Itu - SP,Concessionária,R$ 109990
RENAULT DUSTER,1.6 TECH ROAD 4X2 16V FLEX 4P MANUAL,N,2013/2014,102503 km,Jaraguá do Sul - SC,Loja,R$ 49900
FORD BRONCO SPORT,2.0 ECOBOOST GASOLINA WILDTRAK 4X4 SELECTSHIFT,Y,2021/2021,0 km,Barretos - SP,Loja,R$ 263900
VOLKSWAGEN NIVUS,1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO,Y,2021/2021,0 km,Uberlândia - MG,Loja,R$ 112000
JEEP RENEGADE,1.8 16V FLEX SPORT 4P AUTOMÁTICO,Y,2015/2016,65000 km,Fortaleza - CE,Loja,R$ 72900
HONDA HR-V,1.8 16V FLEX EX 4P AUTOMÁTICO,Y,2015/2016,69000 km,Bragança Paulista - SP,Loja,R$ 87900
RENAULT CAPTUR,1.6 16V SCE FLEX ZEN MANUAL,N,2017/2018,83177 km,Blumenau - SC,Loja,R$ 77900
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX SENSE AUTOMÁTICO,Y,2020/2020,9900 km,São José - SC,Loja,R$ 106900
RENAULT LOGAN,1.0 12V SCE FLEX AUTHENTIQUE MANUAL,N,2018/2019,37250 km,São Bernardo do Campo - SP,Loja,R$ 44900
RENAULT CAPTUR,1.6 16V SCE FLEX INTENSE X-TRONIC,Y,2018/2019,80000 km,São Bernardo do Campo - SP,Loja,R$ 84990
FIAT DOBLÒ,1.8 MPI ESSENCE 7L 16V FLEX 4P MANUAL,N,2020/2021,42617 km,Goiânia - GO,Loja,R$ 92990
CHEVROLET COBALT,1.8 MPFI LTZ 8V FLEX 4P AUTOMÁTICO,Y,2014/2015,186985 km,Sorocaba - SP,Loja,R$ 54900
