Automóvel,Descrição,Automático,Ano,Km,Local,Anunciante,Preço
JEEP RENEGADE,1.8 16V FLEX SPORT 4P AUTOMÁTICO,Y,2020/2021,9400 km,Rio do Sul - SC,Concessionária,R$ 104990
HONDA HR-V,1.8 16V FLEX LX 4P AUTOMÁTICO,Y,2016/2017,97587 km,Campinas - SP,Loja,R$ 89890
CHEVROLET ZAFIRA,2.0 MPFI EXPRESSION 8V FLEX 4P AUTOMÁTICO,Y,2009/2010,152000 km,Vinhedo - SP,Loja,R$ 34800
RENAULT CAPTUR,2.0 16V HI-FLEX INTENSE AUTOMÁTICO,Y,2019/2020,50400 km,São Paulo - SP,Loja,R$ 84900
JEEP RENEGADE,1.8 16V FLEX LIMITED 4P AUTOMÁTICO,Y,2017/2018,57000 km,Tubarão - SC,Loja,R$ 91900
NISSAN KICKS,1.6 16V FLEXSTART S 4P XTRONIC,Y,2019/2020,20000 km,Piracicaba - SP,Loja,R$ 91900
HYUNDAI TUCSON,2.0 MPFI GLS 16V 143CV 2WD GASOLINA 4P AUTOMÁTICO,Y,2011/2012,86000 km,Ivoti - RS,Loja,R$ 41900
HYUNDAI CRETA,2.0 16V FLEX PRESTIGE AUTOMÁTICO,Y,2018/2018,55723 km,São Paulo - SP,Loja,R$ 98790
CHEVROLET SPIN,1.8 LTZ 8V FLEX 4P MANUAL,N,2016/2017,68000 km,São Paulo - SP,Loja,R$ 61890
RENAULT CAPTUR,1.6 16V SCE FLEX BOSE X-TRONIC,Y,2020/2021,6382 km,São Paulo - SP,Loja,R$ 102789
FIAT PALIO,1.8 MPI ADVENTURE WEEKEND 16V FLEX 4P MANUAL,N,2019/2020,57000 km,Itumbiara - GO,Loja,R$ 71000
CHERY TIGGO 5x,1.5 VVT TURBO iFLEX TXS DCT,Y,2019/2020,18000 km,São José dos Campos - SP,Loja,R$ 105900
NISSAN KICKS,1.6 16V FLEXSTART SV 4P XTRONIC,Y,2020/2020,67000 km,Sumaré - SP,Loja,R$ 93900
CHEVROLET TRACKER,1.4 16V TURBO FLEX LT AUTOMÁTICO,Y,2017/2018,35639 km,Brasília - DF,Loja,R$ 85290
JEEP RENEGADE,1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,Y,2015/2016,100 km,Campinas - SP,Loja,R$ 73890
CHEVROLET SPIN,1.8 PREMIER 8V FLEX 4P AUTOMÁTICO,Y,2019/2020,39476 km,Itajaí - SC,Loja,R$ 89900
